epoch,train_loss,train_acc,val_loss,val_acc
1,0.6686494385947537,0.5263157894736842,0.6803223534866616,0.49074074074074076
2,0.6058914624117574,0.6285998013902682,0.6764936402991966,0.5046296296296297
3,0.597338007898056,0.6802383316782522,0.6684915445469044,0.5601851851851852
4,0.579243569915084,0.6732869910625621,0.6555113792419434,0.6712962962962963
5,0.5787831609393539,0.7259185700099305,0.6547125622078225,0.6527777777777778
6,0.5667321821665456,0.7269116186693148,0.6636553384639599,0.6157407407407407
7,0.5521272470011138,0.7398212512413108,0.6569230181199534,0.6203703703703703
8,0.5605728051513286,0.7259185700099305,0.6355659211123431,0.6666666666666666
9,0.5430247345060673,0.7487586891757696,0.6327107946077982,0.6666666666666666
10,0.5324469582800122,0.7725918570009931,0.6574435167842441,0.5601851851851852
11,0.5361002436519972,0.7537239324726912,0.6749640570746528,0.5
12,0.5744102784278021,0.7388282025819265,0.6803808742099338,0.49537037037037035
13,0.527380635064787,0.76266137040715,0.6403452113822654,0.6018518518518519
14,0.5169369744094386,0.7616683217477657,0.6112872980259083,0.6759259259259259
15,0.5070859680642201,0.76266137040715,0.5930497933317114,0.7037037037037037
16,0.5049727440117132,0.7815292949354519,0.6524059220596596,0.5787037037037037
17,0.515632402488468,0.7686196623634558,0.6015597714318169,0.6712962962962963
18,0.495829740992369,0.7735849056603774,0.5895469034159625,0.7037037037037037
19,0.5039958991739222,0.8003972194637538,0.5829388984927425,0.7638888888888888
20,0.48689716850160486,0.7795431976166832,0.5948169275566384,0.7361111111111112
21,0.4874068218937223,0.7894736842105263,0.5917022934666386,0.7731481481481481
22,0.49066487946126763,0.7706057596822244,0.586756706237793,0.7175925925925926
23,0.48171376072188477,0.7954319761668321,0.5847540519855641,0.6574074074074074
24,0.4734325737441782,0.7835153922542205,0.6033191548453437,0.6666666666666666
25,0.4613939599460499,0.8192651439920556,0.5912426445219252,0.6898148148148148
26,0.4783713118558844,0.8043694141012909,0.6120242057023225,0.6064814814814815
27,0.4714494539940843,0.7874875868917577,0.6099718919506779,0.625
28,0.4534647008394887,0.8043694141012909,0.5828106226744475,0.6990740740740741
29,0.46507078770255855,0.8023833167825224,0.6737858101173684,0.5462962962962963
30,0.45024661469719973,0.817279046673287,0.5807532314900998,0.6712962962962963
31,0.4601388173815984,0.8093346573982125,0.5983710642214175,0.6851851851851852
32,0.44215455358291217,0.7904667328699106,0.5682771448735837,0.7175925925925926
33,0.44076892677343116,0.8232373386295928,0.6000838500482065,0.6342592592592593
34,0.43268924131767517,0.8182720953326713,0.5692662552550987,0.7083333333333334
35,0.4454457730557973,0.8133068520357497,0.6218041490625452,0.6435185185185185
36,0.4262182638567041,0.8063555114200596,0.5696720878283182,0.75
37,0.4238346661806343,0.8291956305858987,0.576863549373768,0.7314814814814815
38,0.4093803726987545,0.82025819265144,0.5785060767774228,0.7870370370370371
39,0.41294849806769485,0.8162859980139027,0.5568176794935156,0.7685185185185185
40,0.40651850939507284,0.8520357497517378,0.5941481237058286,0.6666666666666666
41,0.402191827319703,0.8272095332671301,0.5647578636805216,0.75
42,0.3893081629880017,0.8291956305858987,0.5638964352784334,0.7592592592592593
43,0.3864874205854467,0.8421052631578947,0.5789518113489505,0.7037037037037037
44,0.3801636604856711,0.8391261171797418,0.5770748632925528,0.7592592592592593
45,0.37854897573427504,0.8480635551142006,0.5900217029783461,0.8009259259259259
46,0.374631295433821,0.8391261171797418,0.5797259012858073,0.7083333333333334
47,0.3793759987335338,0.8371400198609732,0.5433068981877079,0.6805555555555556
48,0.3867770403238844,0.8252234359483615,0.5277930696805319,0.8194444444444444
49,0.39670423504849295,0.8550148957298908,0.5873433450857798,0.8379629629629629
50,0.35952613201610145,0.8341608738828202,0.5266074582382485,0.8194444444444444
